4408.4;4408.4;4408.4;4408.4;4408.4;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;9890;9890;4408.4;4408.4;4408.4;4408.4;4408.4;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;9890;9890;4408.4;4408.4;4408.4;4408.4;4408.4;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;6474.2;9890;9890
1298.5;3536.4;3548.4;3630;4781.1;4923.9;4923.9;6036.2;6303.4;6590.6;6198.6;6193.5;7604.9;8959;9042.2;8300.8;9714.6;1298.5;3536.4;3548.4;3630;4781.1;4923.9;4923.9;6036.2;6303.4;6590.6;6198.6;6193.5;7604.9;8959;9042.2;8300.8;9714.6;1298.5;3536.4;3548.4;3630;4781.1;4923.9;4923.9;6036.2;6303.4;6590.6;6198.6;6193.5;7604.9;8959;9042.2;8300.8;9714.6
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963;3.7963
70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70
50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
